reep_id,sofascore_id
reep_pa5bc5fb4,1002506
reep_pa8c5187d,770253
reep_p705afca1,844096
reep_p85e0aef7,281253
reep_p196396e8,818481
reep_p292a15bc,1006509
reep_p279943f7,822749
reep_pe4d4089c,1002920
reep_p2b4280e4,1187275
reep_p485c727d,1518931
reep_pc1ab7cc2,344847
reep_p85859c06,889785
reep_pa9b8832f,250223
reep_pfe208375,152077
reep_pe02c2444,879802
reep_p235aa6ba,37224
reep_p47c8bd95,1218056
reep_p933e5e85,935564
reep_p4a945fc6,227672
reep_p9eab4f3b,103045
reep_p08299ab4,1144138
reep_pc767f199,42694
reep_pb9f0b33d,138530
reep_p1a7601d5,925740
reep_p06b8934e,804770
reep_p424cf877,928021
reep_p2839d9ec,832868
reep_p6eecd03a,354046
reep_p74142ef5,296438
reep_p02d7a582,927407
reep_pbea070a0,954836
reep_pe002e305,1035986
reep_p12f4c22b,1105688
reep_p08ee6aba,936184
reep_p2b060a9f,842253
reep_pac40c8d9,1094179
reep_p6e54233c,877452
reep_p84cc9ff9,990408
reep_p5b9f6358,845802
reep_p04555cc8,927797
reep_p8e2f2807,138892
reep_pf98b53ad,851671
reep_p81014116,1190933
reep_p221fdf3f,1001675
reep_p457cfcfa,964994
reep_pa7fd48a8,221162
reep_pea138ae9,989801
reep_p48a6c913,874568
reep_pa91d231b,991011
reep_pd7167feb,827212
reep_pd744eb20,800951
reep_p3790f8e3,973556
reep_p85c8978d,944656
reep_p7c833e5c,843114
reep_pa0775796,788971
reep_pd59a9196,1171902
reep_p020a0898,783278
reep_p1d2c1b79,851596
reep_p6acb85fd,934386
reep_p9368734e,876599
reep_pd510bcc4,333275
reep_p81a3bcba,97409
reep_p546446b3,138152
reep_p18a80aa1,836705
reep_pe4f836aa,1028307
reep_p31e82027,126071
reep_pf6bf6fe0,1019442
reep_p474a303a,303826
reep_p0cb3d7c0,577736
reep_p7140c1e2,1391315
reep_p6dc612b9,905352
reep_p74d003ee,319847
reep_p1afb0786,1149011
reep_p95680408,796142
reep_p74e2ff4f,75756
reep_p1d5e8a14,1499696
reep_p25bb4638,903324
reep_p1ecc5130,1425366
reep_p406b8a08,1066915
reep_p999f1021,794953
reep_p116e0d9d,70996
reep_p54f8f562,906838
reep_pb5cc1bc7,1431770
reep_pa0e22fec,936451
reep_p5c13dd5f,976538
reep_p58e5fb32,888187
reep_pf1b1b4a4,936047
reep_p6c02775b,366592
reep_p45d8badb,896569
reep_pc0a3e380,921263
reep_pdb53c1c9,235686
reep_pa16e0d62,1473092
reep_p82dab983,831860
reep_pb8c85145,355492
reep_pa5bda21f,873534
reep_p68efee8b,924973
reep_p167bf9a6,576384
reep_p2e3e530c,22596
reep_p8b5a40e8,905639
reep_p4b7614c5,826643
reep_p8a7df04a,790989
reep_pae2733ca,856250
reep_pa21748c2,1389846
reep_p624b4e61,798177
reep_p9ed33af8,823984
reep_p938a9631,237098
reep_p857c6f85,74545
reep_p56317ac1,255389
reep_p1eab9144,135666
reep_p36bcc1cc,1002448
reep_pb3d4e33c,537552
reep_p8713054a,917087
reep_pfe202975,1103520
reep_p4e73a0f8,1002355
reep_p5ff79bd9,1010126
reep_p0d457afe,879746
reep_p98cf5a6b,184661
reep_p3b49a691,293519
reep_p06d35bbe,907152
reep_pd8bba41b,905264
reep_pbd9a559b,12994
reep_p0ec4fddc,599192
reep_pa2f74f2b,859999
reep_pc228922b,1136642
reep_p78b50473,991451
reep_pa971d7c4,1413129
reep_p5f96f8c4,1127823
reep_pd4b73cb7,802133
reep_pb74fa577,1391251
reep_p53ba72d3,96538
reep_p005a41fa,1646783
reep_p8851d536,243199
reep_p2457364d,839981
reep_p0386ed6b,757770
reep_p9a68dae1,883537
reep_p52974f47,914213
reep_pc3193de7,1035995
reep_pda4b13cb,15466
reep_pee522d02,949156
reep_pe0b836ff,1405212
reep_pba999b2f,952114
reep_p29b71edc,846122
reep_p15d3b065,901907
reep_pe400e100,846204
reep_p8dfcd29d,1130939
reep_p3422ba01,812953
reep_pe0f8717a,812557
reep_p3c2798a8,1101624
reep_p1f70730a,1014286
reep_p0e3e9182,975798
reep_p122213e3,996958
reep_p32b54f82,974087
reep_p0a638991,383560
reep_pc2c30cd0,8959
reep_p35757016,846425
reep_p5545f202,794939
reep_p77013816,877994
reep_pdebb18ab,133908
reep_p7a9add5c,825771
reep_p2d736911,1066802
reep_pa86b8658,353138
reep_p6d718e50,830659
reep_p84174d14,934409
reep_p737c8b04,814590
reep_pcf9d285b,791702
reep_p232339ce,847467
reep_p6c6774ff,190437
reep_p8cc45051,922759
reep_pa9f93317,21927
reep_p19d1443c,1026519
reep_p2fb6c352,1002620
reep_pcf88f3c4,155995
reep_pcf367b25,1090019
reep_pb8051309,1110369
reep_pc8c2c4b4,547410
reep_p97c2640b,1087805
reep_p023e8853,1013699
reep_p84d3f55e,1638685
reep_p0732f2ec,136710
reep_pac8e830d,886363
reep_p4b846e1d,945122
reep_p6c8a70e4,122570
reep_p727302bb,937255
reep_p26f6e3f2,805078
reep_p0f7597cb,1149144
reep_pe5db240a,973436
reep_p64a2f992,833943
reep_p98ffc93e,796987
reep_p752c35e0,875295
reep_p7c72f1c5,927366
reep_p5af20ca1,986233
reep_p943c0a0f,197904
reep_p68ea4ce2,879674
reep_p56d81ec4,997152
reep_p6e1e838f,980628
reep_p4a87eff3,929193
reep_p0003d615,881182
reep_p29e8e021,812533
reep_pf864b20e,138833
reep_p70d5be2a,1381224
reep_p64137e06,806968
reep_p6d8d4801,836683
reep_p841af87b,839493
reep_p17af0c92,38624
reep_paddf520b,111483
reep_p79c5080c,978838
reep_pb8ef3709,825731
reep_pff7ab198,850891
reep_p3c9623fb,998247
reep_pc6b1c08f,333373
reep_pb33c9950,191210
reep_pbf06409b,592010
reep_p5ee576f8,823622
reep_p865d553c,812531
reep_p8a9684ba,868843
reep_p0ace3419,798303
reep_p3ee4cbdc,926506
reep_pb0739f5e,1107591
reep_p5aa06ecd,1008597
reep_p72b83e55,826545
reep_p767b951e,828524
reep_p1d8f9671,159665
reep_pfae6a489,1019061
reep_pccb4d55f,1139989
reep_p0dc02b8d,1171024
reep_pe321d36a,812952
reep_pe3ea60bb,996805
reep_p7fc13f02,1804369
reep_p8ed9a697,791416
reep_p0c536198,951859
reep_pf366ec9b,918506
reep_p9a42f8a0,1114775
reep_pc2cd5486,987650
reep_p57961dfb,826049
reep_pe9a2f3ba,879618
reep_p659c66a2,948261
reep_p6802b421,919225
reep_p56680a9a,280991
reep_paba91611,580226
reep_p6d5bae93,1048378
reep_p7cb1e5bf,1022679
reep_p1e847591,758168
reep_pdb0d07ac,1469180
reep_p094fcf4c,876600
reep_p9b9d1bb8,1106234
reep_p593c7784,1500435
reep_pb6329b14,368120
reep_p694d646c,327755
reep_pb9b63f09,831799
reep_pcefa721a,872607
reep_p79cb373b,149663
reep_p16c7706e,1119487
reep_p283e30f8,1020141
reep_p3c5a20aa,1093229
reep_pc44c86bf,963399
reep_p54e565a6,1159759
reep_pd732f328,986400
reep_pc22e8d3e,1128530
reep_p8c53a1ba,1144687
reep_pec62e3f6,124712
reep_p0599fc03,1391541
reep_p98fdfd6f,282229
reep_pc101fbda,1142703
reep_p14e48a95,1171451
reep_pb61cae54,940871
reep_pa8c55b3a,1085400
reep_p0abd6bd5,1085381
reep_p58293626,593526
reep_p0dece94f,889378
reep_p01cff3f2,976575
reep_p8cefbe53,877513
reep_p31a45b10,901325
reep_p103e08f8,74915
reep_pf68a4a3b,158243
reep_pbef85d9c,1411145
reep_p4e466b7b,831488
reep_p0fadbd39,325061
reep_paebd87e8,357596
reep_p92993ac6,1469336
reep_p3ff4fb9e,1116571
reep_pcaab9b20,1118467
reep_pbc504a1e,1014324
reep_p8d7d20af,902117
reep_pf3aea40e,875136
reep_p32ce1036,1171539
reep_p71cea9d7,927845
reep_pb3167d23,847030
reep_p2defe7d2,989768
reep_pef6f58be,209374
reep_p4b7e4e8c,252821
reep_p05814e9d,1119345
reep_pfaaaf434,1937497
reep_pe4c9d5ea,823992
reep_pb8ddc49e,973437
reep_p0fa10760,555386
reep_pedd8f205,805137
reep_p627046dc,873554
reep_paec0babd,976251
reep_pb3c9c1c9,850404
reep_p76df68bc,907461
reep_pdd5ed529,991709
reep_pf764c4ce,886041
reep_p9adc880d,1065216
reep_pe3a45350,985882
reep_p4bbf47e7,984505
reep_pd71e3fd8,358890
reep_p09b761c5,1188191
reep_p612907fc,818244
reep_pc2c4cf3e,1394342
reep_p4478cb36,1007589
reep_p6f9b67d5,857740
reep_p3f19f6d8,999396
reep_pe2346322,881307
reep_p0ec64d7d,879694
reep_p8fefdbb4,1002711
reep_p39ca368b,1026069
reep_pda00034c,48480
reep_p39045343,913679
